sales_order_number,customer_account,customer_name,order_type,channel,status,do_not_process,site,warehouse,invoice_date
SO-10054,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-07-29
SO-10055,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-B,2026-08-02
SO-10056,C-1003,Bloom Online,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-05-14
SO-10057,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-A,2026-05-28
SO-10058,C-1005,Palm Grove,Standard,Online,Open,No,AUH-02,WH-B,2026-08-18
SO-10059,C-1001,Greenfield Retail,Standard,Retail Store,Open,Yes,DXB-01,WH-B,2026-06-30
SO-10060,C-1004,Desert Gardens,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-07-14
SO-10061,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-07-18
SO-10062,C-1008,Sand & Stone,Rush,Online,Open,No,DXB-01,WH-A,2026-06-25
SO-10063,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-13
SO-10064,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-B,2026-07-14
SO-10065,C-1006,Nile Nursery,Standard,Wholesale,Open,Yes,AUH-02,WH-A,2026-05-04
SO-10066,C-1005,Palm Grove,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-07-21
SO-10067,C-1006,Nile Nursery,Rush,Online,Open,No,AUH-02,WH-B,2026-05-12
SO-10068,C-1001,Greenfield Retail,Rush,Wholesale,Cancelled,No,AUH-02,WH-B,2026-05-13
SO-10069,C-1005,Palm Grove,Standard,Online,Cancelled,No,AUH-02,WH-A,2026-07-08
SO-10070,C-1008,Sand & Stone,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-05-27
SO-10071,C-1007,Cedar Home,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-07-08
SO-10072,C-1008,Sand & Stone,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-06-06
SO-10073,C-1007,Cedar Home,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-06-17
SO-10074,C-1006,Nile Nursery,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-07-02
SO-10075,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-B,2026-08-18
SO-10076,C-1002,Oasis Wholesale,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-05-03
SO-10077,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-05-20
SO-10078,C-1003,Bloom Online,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-07-25
SO-10079,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-31
SO-10080,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-07-13
SO-10081,C-1005,Palm Grove,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-07-11
SO-10082,C-1005,Palm Grove,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-08-02
SO-10083,C-1001,Greenfield Retail,Rush,Wholesale,Open,Yes,AUH-02,WH-A,2026-08-07
SO-10084,C-1006,Nile Nursery,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-08-07
SO-10085,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-05-17
SO-10086,C-1007,Cedar Home,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-08-02
SO-10087,C-1008,Sand & Stone,Standard,Wholesale,Open,Yes,AUH-02,WH-B,2026-05-27
SO-10088,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-13
SO-10089,C-1004,Desert Gardens,Standard,Online,Open,No,AUH-02,WH-A,2026-05-03
SO-10090,C-1008,Sand & Stone,Rush,Retail Store,Cancelled,No,DXB-01,WH-A,2026-05-23
SO-10091,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-05-25
SO-10092,C-1003,Bloom Online,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-05-13
SO-10093,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-15
SO-10094,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-A,2026-08-07
SO-10095,C-1006,Nile Nursery,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-08-22
SO-10096,C-1004,Desert Gardens,Rush,Online,Open,No,AUH-02,WH-A,2026-08-08
SO-10097,C-1005,Palm Grove,Standard,Online,Cancelled,No,DXB-01,WH-B,2026-06-22
SO-10098,C-1003,Bloom Online,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-08-02
SO-10099,C-1006,Nile Nursery,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-07-14
SO-10100,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-15
SO-10101,C-1003,Bloom Online,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-06-12
SO-10102,C-1006,Nile Nursery,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-06-21
SO-10103,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-08-03
SO-10104,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-A,2026-08-03
SO-10105,C-1004,Desert Gardens,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-05-25
SO-10106,C-1006,Nile Nursery,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-07-06
SO-10107,C-1007,Cedar Home,Standard,Wholesale,Open,Yes,AUH-02,WH-B,2026-06-22
SO-10108,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-08-24
SO-10109,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-06-10
SO-10110,C-1003,Bloom Online,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-05-31
SO-10111,C-1008,Sand & Stone,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-06-08
SO-10112,C-1006,Nile Nursery,Rush,Online,Open,No,DXB-01,WH-A,2026-05-03
SO-10113,C-1003,Bloom Online,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-07-15
SO-10114,C-1003,Bloom Online,Rush,Online,Open,No,AUH-02,WH-B,2026-06-24
SO-10115,C-1005,Palm Grove,Standard,Online,Open,Yes,DXB-01,WH-B,2026-07-09
SO-10116,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-07-14
SO-10117,C-1006,Nile Nursery,Standard,Online,Open,No,DXB-01,WH-A,2026-05-22
SO-10118,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-02
SO-10119,C-1003,Bloom Online,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-08-05
SO-10120,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-B,2026-07-06
SO-10121,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-B,2026-08-11
SO-10122,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-A,2026-08-22
SO-10123,C-1006,Nile Nursery,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-06-18
SO-10124,C-1005,Palm Grove,Standard,Online,Open,No,DXB-01,WH-B,2026-05-16
SO-10125,C-1007,Cedar Home,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-05-26
SO-10126,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-08-08
SO-10127,C-1004,Desert Gardens,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-16
SO-10128,C-1006,Nile Nursery,Rush,Online,Open,No,DXB-01,WH-B,2026-07-19
SO-10129,C-1003,Bloom Online,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-08-01
SO-10130,C-1001,Greenfield Retail,Standard,Online,Open,No,DXB-01,WH-A,2026-05-07
SO-10131,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-28
SO-10132,C-1007,Cedar Home,Rush,Online,Open,No,DXB-01,WH-B,2026-08-02
SO-10133,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-A,2026-08-12
SO-10134,C-1006,Nile Nursery,Rush,Online,Open,No,DXB-01,WH-B,2026-07-26
SO-10135,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-07-03
SO-10136,C-1006,Nile Nursery,Rush,Online,Open,No,AUH-02,WH-A,2026-05-18
SO-10137,C-1003,Bloom Online,Rush,Online,Open,No,AUH-02,WH-A,2026-05-13
SO-10138,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-B,2026-05-14
SO-10139,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-A,2026-08-15
SO-10140,C-1006,Nile Nursery,Rush,Online,Cancelled,No,DXB-01,WH-A,2026-06-14
SO-10141,C-1008,Sand & Stone,Standard,Online,Open,No,AUH-02,WH-A,2026-06-08
SO-10142,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-08-23
SO-10143,C-1005,Palm Grove,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-07-19
SO-10144,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-09
SO-10145,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-A,2026-05-30
SO-10146,C-1006,Nile Nursery,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-05-17
SO-10147,C-1003,Bloom Online,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-06-25
SO-10148,C-1006,Nile Nursery,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-08-26
SO-10149,C-1008,Sand & Stone,Rush,Retail Store,Cancelled,No,DXB-01,WH-B,2026-06-18
SO-10150,C-1005,Palm Grove,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-23
SO-10151,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-07-08
SO-10152,C-1006,Nile Nursery,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-06-15
SO-10153,C-1008,Sand & Stone,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-06-10
SO-10154,C-1006,Nile Nursery,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-01
SO-10155,C-1001,Greenfield Retail,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-07-12
SO-10156,C-1001,Greenfield Retail,Rush,Wholesale,Cancelled,No,DXB-01,WH-A,2026-08-12
SO-10157,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-07-02
SO-10158,C-1006,Nile Nursery,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-23
SO-10159,C-1005,Palm Grove,Rush,Online,Open,No,DXB-01,WH-B,2026-06-06
SO-10160,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-B,2026-08-11
SO-10161,C-1004,Desert Gardens,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-06-29
SO-10162,C-1004,Desert Gardens,Rush,Wholesale,Open,Yes,DXB-01,WH-A,2026-08-22
SO-10163,C-1008,Sand & Stone,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-07-21
SO-10164,C-1003,Bloom Online,Rush,Online,Open,No,DXB-01,WH-A,2026-08-01
SO-10165,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-B,2026-04-30
SO-10166,C-1006,Nile Nursery,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-05-23
SO-10167,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-07-03
SO-10168,C-1005,Palm Grove,Rush,Online,Open,No,AUH-02,WH-A,2026-05-29
SO-10169,C-1005,Palm Grove,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-19
SO-10170,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-A,2026-05-18
SO-10171,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-08-13
SO-10172,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-07-12
SO-10173,C-1001,Greenfield Retail,Standard,Online,Open,No,AUH-02,WH-A,2026-08-10
SO-10174,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-07-27
SO-10175,C-1008,Sand & Stone,Standard,Online,Open,No,AUH-02,WH-A,2026-08-21
SO-10176,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-05-15
SO-10177,C-1002,Oasis Wholesale,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-06-03
SO-10178,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-07-14
SO-10179,C-1006,Nile Nursery,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-06-05
SO-10180,C-1007,Cedar Home,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-07-13
SO-10181,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-B,2026-06-16
SO-10182,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-B,2026-07-09
SO-10183,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-06-02
SO-10184,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-14
SO-10185,C-1008,Sand & Stone,Rush,Online,Open,No,DXB-01,WH-B,2026-06-01
SO-10186,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-06-20
SO-10187,C-1004,Desert Gardens,Rush,Online,Open,No,AUH-02,WH-B,2026-06-16
SO-10188,C-1008,Sand & Stone,Standard,Retail Store,Open,No,DXB-01,WH-A,2026-05-16
SO-10189,C-1001,Greenfield Retail,Rush,Retail Store,Cancelled,No,AUH-02,WH-B,2026-07-28
SO-10190,C-1005,Palm Grove,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-05-01
SO-10191,C-1004,Desert Gardens,Rush,Retail Store,Open,No,AUH-02,WH-B,2026-07-05
SO-10192,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-26
SO-10193,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-06-28
SO-10194,C-1008,Sand & Stone,Rush,Online,Open,No,DXB-01,WH-A,2026-05-26
SO-10195,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-A,2026-05-17
SO-10196,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-08-02
SO-10197,C-1006,Nile Nursery,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-06-30
SO-10198,C-1002,Oasis Wholesale,Standard,Online,Open,No,DXB-01,WH-B,2026-07-29
SO-10199,C-1006,Nile Nursery,Rush,Online,Open,Yes,DXB-01,WH-A,2026-06-07
SO-10200,C-1002,Oasis Wholesale,Rush,Wholesale,Cancelled,No,AUH-02,WH-B,2026-06-13
SO-10201,C-1007,Cedar Home,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-07-04
SO-10202,C-1007,Cedar Home,Standard,Online,Open,No,AUH-02,WH-A,2026-06-23
SO-10203,C-1007,Cedar Home,Rush,Online,Open,No,AUH-02,WH-B,2026-06-06
SO-10204,C-1007,Cedar Home,Standard,Online,Open,No,AUH-02,WH-B,2026-06-08
SO-10205,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-05-13
SO-10206,C-1003,Bloom Online,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-07-24
SO-10207,C-1007,Cedar Home,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-06-19
SO-10208,C-1003,Bloom Online,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-23
SO-10209,C-1004,Desert Gardens,Standard,Online,Open,No,AUH-02,WH-B,2026-05-27
SO-10210,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-21
SO-10211,C-1008,Sand & Stone,Standard,Wholesale,Cancelled,No,AUH-02,WH-B,2026-06-28
SO-10212,C-1004,Desert Gardens,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-08-09
SO-10213,C-1007,Cedar Home,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-07-19
SO-10214,C-1002,Oasis Wholesale,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-03
SO-10215,C-1006,Nile Nursery,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-08-17
SO-10216,C-1002,Oasis Wholesale,Rush,Wholesale,Open,Yes,DXB-01,WH-B,2026-07-28
SO-10217,C-1007,Cedar Home,Rush,Online,Open,No,DXB-01,WH-B,2026-07-26
SO-10218,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-05-22
SO-10219,C-1008,Sand & Stone,Rush,Online,Open,No,AUH-02,WH-B,2026-07-09
SO-10220,C-1005,Palm Grove,Rush,Retail Store,Open,No,AUH-02,WH-A,2026-06-05
SO-10221,C-1008,Sand & Stone,Standard,Wholesale,Open,Yes,DXB-01,WH-B,2026-08-12
SO-10222,C-1008,Sand & Stone,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-08-17
SO-10223,C-1005,Palm Grove,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-07-10
SO-10224,C-1001,Greenfield Retail,Rush,Online,Open,No,DXB-01,WH-A,2026-08-03
SO-10225,C-1005,Palm Grove,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-05-17
SO-10226,C-1001,Greenfield Retail,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-30
SO-10227,C-1008,Sand & Stone,Standard,Online,Open,No,AUH-02,WH-B,2026-06-22
SO-10228,C-1001,Greenfield Retail,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-08-07
SO-10229,C-1005,Palm Grove,Standard,Retail Store,Open,Yes,AUH-02,WH-B,2026-06-06
SO-10230,C-1007,Cedar Home,Rush,Wholesale,Cancelled,No,DXB-01,WH-A,2026-06-07
SO-10231,C-1008,Sand & Stone,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-05-27
SO-10232,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-07-31
SO-10233,C-1003,Bloom Online,Standard,Online,Open,Yes,AUH-02,WH-A,2026-06-12
SO-10234,C-1006,Nile Nursery,Standard,Online,Open,No,AUH-02,WH-A,2026-07-31
SO-10235,C-1004,Desert Gardens,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-02
SO-10236,C-1008,Sand & Stone,Rush,Wholesale,Open,No,DXB-01,WH-A,2026-05-13
SO-10237,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-A,2026-06-21
SO-10238,C-1007,Cedar Home,Standard,Online,Open,No,AUH-02,WH-A,2026-07-02
SO-10239,C-1003,Bloom Online,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-24
SO-10240,C-1007,Cedar Home,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-05-30
SO-10241,C-1003,Bloom Online,Standard,Online,Open,No,AUH-02,WH-B,2026-05-16
SO-10242,C-1002,Oasis Wholesale,Rush,Online,Open,No,DXB-01,WH-B,2026-06-02
SO-10243,C-1003,Bloom Online,Standard,Online,Open,No,DXB-01,WH-A,2026-05-20
SO-10244,C-1006,Nile Nursery,Standard,Online,Open,No,DXB-01,WH-A,2026-05-04
SO-10245,C-1002,Oasis Wholesale,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-06-08
SO-10246,C-1002,Oasis Wholesale,Rush,Online,Open,No,AUH-02,WH-B,2026-05-04
SO-10247,C-1005,Palm Grove,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-05
SO-10248,C-1001,Greenfield Retail,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-04-29
SO-10249,C-1008,Sand & Stone,Standard,Retail Store,Open,Yes,DXB-01,WH-B,2026-05-29
SO-10250,C-1003,Bloom Online,Standard,Wholesale,Open,No,AUH-02,WH-A,2026-05-11
SO-10251,C-1007,Cedar Home,Standard,Wholesale,Open,No,AUH-02,WH-B,2026-08-15
SO-10252,C-1002,Oasis Wholesale,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-08-06
SO-10253,C-1008,Sand & Stone,Rush,Online,Open,No,DXB-01,WH-A,2026-06-25
SO-10254,C-1007,Cedar Home,Standard,Wholesale,Open,No,DXB-01,WH-B,2026-05-30
SO-10255,C-1004,Desert Gardens,Standard,Retail Store,Open,No,AUH-02,WH-A,2026-07-09
SO-10256,C-1003,Bloom Online,Standard,Retail Store,Open,No,AUH-02,WH-B,2026-08-13
SO-10257,C-1002,Oasis Wholesale,Standard,Online,Open,No,DXB-01,WH-A,2026-06-24
SO-10258,C-1001,Greenfield Retail,Standard,Online,Open,No,AUH-02,WH-A,2026-06-18
SO-10259,C-1004,Desert Gardens,Rush,Wholesale,Open,No,AUH-02,WH-B,2026-07-16
SO-10260,C-1007,Cedar Home,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-06-17
SO-10261,C-1001,Greenfield Retail,Rush,Online,Open,No,DXB-01,WH-A,2026-06-02
SO-10262,C-1004,Desert Gardens,Rush,Retail Store,Open,No,DXB-01,WH-A,2026-06-13
SO-10263,C-1006,Nile Nursery,Rush,Wholesale,Open,No,AUH-02,WH-A,2026-05-29
SO-10264,C-1002,Oasis Wholesale,Rush,Retail Store,Cancelled,No,DXB-01,WH-A,2026-06-30
SO-10265,C-1006,Nile Nursery,Standard,Wholesale,Cancelled,No,DXB-01,WH-B,2026-05-24
SO-10266,C-1002,Oasis Wholesale,Standard,Online,Open,No,AUH-02,WH-B,2026-07-22
SO-10267,C-1006,Nile Nursery,Rush,Retail Store,Open,No,DXB-01,WH-B,2026-07-28
SO-10268,C-1007,Cedar Home,Standard,Wholesale,Open,No,DXB-01,WH-A,2026-04-29
SO-10269,C-1003,Bloom Online,Rush,Wholesale,Open,No,DXB-01,WH-B,2026-06-12
